quadratID,speciesID,cover,flowering,notes
rdm_1_1,chafa,50-75,,
rdm_1_1,tarof,25-50,,
rdm_1_1,trire,5-25,,
rdm_1_1,rudhi,1-5,,
rdm_1_1,elyca,1-5,,
rdm_1_1,echcr,1-5,,
rdm_1_1,setlu,5-25,,
rdm_1_1,helhe,1-5,,
rdm_1_1,sornu,5-25,,
rdm_1_1,andge,1-5,,
rdm_1_1,setfa,5-25,,
rdm_1_1,spohe,1-5,,
rdm_1_1,schsc,1-5,,
rdm_1_1,sympi,1-5,changed from symoo,
rdm_1_2,chafa,50-75,,
rdm_1_2,sympi,5-25,changed from symoo,
rdm_1_2,desca,5-25,,
rdm_1_2,astca,5-25,,
rdm_1_2,ratpi,5-25,,
rdm_1_2,rudhi,5-25,,
rdm_1_2,lacse,1-5,,
rdm_1_2,tarof,5-25,,
rdm_1_2,schsc,5-25,,
rdm_1_2,sornu,5-25,,
rdm_1_2,echpa,1-5,,
rdm_1_2,dalpu,<1,unkn #1 - photo;dalca?,
rdm_1_2,spohe,1-5,,
rdm_1_2,andge,1-5,,
rdm_1_2,setlu,1-5,,
rdm_1_3,melal,25-50,,
rdm_1_3,cirvu,5-25,,
rdm_1_3,vitri,1-5,wild grape,
rdm_1_3,sympi,25-50,changed from symoo,
rdm_1_3,chafa,25-50,,
rdm_1_3,tarof,1-5,,
rdm_1_3,conca,5-25,,
rdm_1_3,lacse,1-5,,
rdm_1_3,ratpi,1-5,,
rdm_1_3,rudhi,<1,,
rdm_1_3,plama,1-5,,
rdm_1_3,setfa,5-25,,
rdm_1_3,schsc,1-5,,
rdm_1_3,sornu,1-5,,
rdm_1_3,agrre,1-5,,
rdm_1_3,dauca,1-5,,
rdm_1_4,boucu,5-25,,
rdm_1_4,solca,5-25,,
rdm_1_4,ratpi,25-50,,
rdm_1_4,symla,5-25,,
rdm_1_4,cirar,5-25,,
rdm_1_4,sympi,5-25,changed from symoo,
rdm_1_4,dalca,5-25,originally on datasheet as "galca",
rdm_1_4,chafa,1-5,,
rdm_1_4,tarof,5-25,,
rdm_1_4,lacse,1-5,,
rdm_1_4,andge,1-5,,
rdm_1_4,dauca,<1,,
rdm_1_4,spohe,1-5,,
rdm_1_4,zizau,<1,,
rdm_1_4,rudhi,5-25,,
rdm_1_4,symno,1-5,,
rdm_1_5,ratpi,25-50,,
rdm_1_5,tarof,25-50,,
rdm_1_5,conca,5-25,,
rdm_1_5,lacse,1-5,,
rdm_1_5,sympi,5-25,changed from symoo,
rdm_1_5,setfa,50-75,,
rdm_1_5,oxast,<1,,
rdm_1_5,dauca,<1,,
rdm_1_5,trire,1-5,,
rdm_1_5,moral,<1,,
rdm_1_6,trire,5-25,area mowed recently,
rdm_1_6,tarof,5-25,area mowed recently,
rdm_1_6,ambar,5-25,area mowed recently,
rdm_1_6,dauca,<1,area mowed recently,
rdm_1_6,ratpi,1-5,area mowed recently,
rdm_1_6,monfi,1-5,area mowed recently,
rdm_1_6,solca,1-5,area mowed recently,
rdm_1_6,setlu,1-5,area mowed recently,
rdm_1_6,andge,1-5,area mowed recently,
rdm_1_7,echpa,1-5,area mowed recently,
rdm_1_7,ambar,1-5,area mowed recently,
rdm_1_7,broin,1-5,area mowed recently,
rdm_1_7,andge,1-5,area mowed recently,
rdm_1_7,cheal,<1,area mowed recently,
rdm_1_7,boucu,5-25,area mowed recently,
rdm_1_7,agrre,1-5,area mowed recently,
rdm_1_7,schsc,1-5,area mowed recently,
rdm_1_8,tarof,5-25,area mowed recently,
rdm_1_8,apoca,1-5,area mowed recently;dogbane,
rdm_1_8,monfi,1-5,area mowed recently,
rdm_1_8,oxast,1-5,area mowed recently,
rdm_1_8,setlu,5-25,area mowed recently,
rdm_1_8,echcr,1-5,area mowed recently,
rdm_1_8,sornu,1-5,area mowed recently,
rdm_1_8,andge,1-5,area mowed recently,
rdm_1_8,setfa,1-5,area mowed recently,
rdm_1_8,schsc,1-5,area mowed recently,
rdm_1_8,symla,1-5,area mowed recently,
rdm_1_8,rudhi,1-5,area mowed recently,
rdm_1_8,cirar,1-5,area mowed recently,
rdm_1_8,elyca,1-5,area mowed recently,
rdm_1_9,desca,5-25,,
rdm_1_9,conca,5-25,,
rdm_1_9,tarof,5-25,,
rdm_1_9,lacse,1-5,,
rdm_1_9,ratpi,1-5,,
rdm_1_9,trire,1-5,,
rdm_1_9,chafa,1-5,,
rdm_1_9,echpa,1-5,,
rdm_1_9,melal,5-25,,
rdm_1_9,unkn2,1-5,photo - spiky tree,
rdm_1_9,boucu,1-5,,
rdm_1_9,broin,5-25,,
rdm_1_9,schsc,1-5,,
rdm_1_9,sornu,1-5,,
rdm_1_9,andge,1-5,,
rdm_1_9,cheal,1-5,,
rdm_1_10,parin,5-25,wild quinine,
rdm_1_10,ratpi,25-50,,
rdm_1_10,conca,5-25,,
rdm_1_10,cirar,25-50,,
rdm_1_10,elyca,5-25,,
rdm_1_10,symla,5-25,,
rdm_1_10,monfi,5-25,,
rdm_1_10,astca,5-25,,
rdm_1_10,sympi,5-25,,
rdm_1_10,andge,1-5,,
rdm_1_10,boucu,1-5,,
rdm_1_10,schsc,5-25,,
rdm_1_10,tarof,1-5,,
rdm_1_11,conca,50-75,,
rdm_1_11,cirar,5-25,,
rdm_1_11,lacse,1-5,,
rdm_1_11,chafa,5-25,,
rdm_1_11,ratpi,5-25,,
rdm_1_11,echpa,1-5,,
rdm_1_11,parin,1-5,wild quinine,
rdm_1_11,rudhi,1-5,,
rdm_1_11,helhe,5-25,,
rdm_1_11,andge,5-25,,
rdm_1_12,ascin,5-25,,
rdm_1_12,schsc,5-25,,
rdm_1_12,chafa,5-25,,
rdm_1_12,helhe,5-25,,
rdm_1_12,ratpi,5-25,,
rdm_1_12,conca,25-50,,
rdm_1_12,elyca,1-5,,
rdm_1_12,parin,1-5,,
rdm_1_12,tarof,5-25,,
rdm_1_12,eupnu,1-5,unkn #3 - spurge?;photo,
rdm_1_12,boucu,1-5,,
rdm_1_12,sornu,5-25,,
rdm_1_12,panca,1-5,,
rdm_1_12,oxast,<1,,
rdm_1_13,echpa,1-5,area recently mowed,
rdm_1_13,conca,5-25,area recently mowed,
rdm_1_13,chafa,1-5,area recently mowed,
rdm_1_13,trire,1-5,area recently mowed,
rdm_1_13,cirar,5-25,area recently mowed,
rdm_1_13,parin,1-5,area recently mowed,
rdm_1_13,ratpi,1-5,area recently mowed,
rdm_1_13,schsc,1-5,area recently mowed,
rdm_1_13,setfa,1-5,area recently mowed,
rdm_1_13,boucu,<1,area recently mowed,
rdm_4_1,ratpi,5-25,area recently mowed,
rdm_4_1,echpa,1-5,area recently mowed,
rdm_4_1,trire,25-50,area recently mowed,
rdm_4_1,andge,1-5,area recently mowed,
rdm_3_1,echpa,1-5,area recently mowed,
rdm_3_1,ratpi,5-25,area recently mowed,
rdm_3_1,tarof,1-5,area recently mowed,
rdm_3_1,conca,1-5,area recently mowed,
rdm_3_1,setfa,5-25,area recently mowed,
rdm_3_1,brote,1-5,area recently mowed;unkn #4 - fuzzy grass;sample,
rdm_3_1,spohe,1-5,area recently mowed,
rdm_3_1,symno,1-5,area recently mowed,
rdm_4_2,rudhi,5-25,,
rdm_4_2,monfi,5-25,,
rdm_4_2,tarof,5-25,,
rdm_4_2,oxast,<1,,
rdm_4_2,chafa,1-5,,
rdm_4_2,setlu,50-75,,
rdm_4_2,broin,1-5,,
rdm_4_3,ratpi,25-50,,
rdm_4_3,zizau,5-25,,
rdm_4_3,tarof,5-25,,
rdm_4_3,rudhi,5-25,,
rdm_4_3,cheal,1-5,,
rdm_4_3,chafa,1-5,,
rdm_4_3,oxast,1-5,,
rdm_4_3,setvi,5-25,,
rdm_4_3,spohe,5-25,,
rdm_4_3,setfa,1-5,,
rdm_4_4,tarof,50-75,,
rdm_4_4,helhe,25-50,,
rdm_4_4,chafa,1-5,,
rdm_4_4,sornu,5-25,,
rdm_4_4,boucu,5-25,,
rdm_4_4,setvi,5-25,,
rdm_4_4,setfa,1-5,,
rdm_5_1,ratpi,25-50,,
rdm_5_1,solri,5-25,,
rdm_5_1,chafa,5-25,,
rdm_5_1,symla,5-25,,
rdm_5_1,rudhi,5-25,,
rdm_5_1,zizau,1-5,,
rdm_5_1,tarof,1-5,,
rdm_5_1,sornu,1-5,,
rdm_5_1,spohe,5-25,,
rdm_5_1,eryyu,1-5,,
rdm_5_1,abuth,<1,,
rdm_5_1,andge,1-5,,
rdm_5_2,ambtr,25-50,,
rdm_5_2,ratpi,25-50,,
rdm_5_2,chafa,5-25,,
rdm_5_2,cirar,5-25,,
rdm_5_2,solri,5-25,,
rdm_5_2,hacvi,5-25,unkn #5 - photo;small;sticky burs,
rdm_5_2,zizau,5-25,,
rdm_5_2,setfa,25-50,,
rdm_5_2,andge,5-25,,
rdm_5_2,tarof,5-25,,
rdm_5_2,agrre,1-5,,
rdm_5_2,cheal,<1,,
rdm_5_3,rudhi,25-50,,
rdm_5_3,monfi,5-25,,
rdm_5_3,echpa,5-25,,
rdm_5_3,symla,5-25,,
rdm_5_3,ratpi,25-50,,
rdm_5_3,solne,5-25,unkn #6 - solne?;photo,
rdm_5_3,zizau,5-25,,
rdm_5_3,solri,5-25,,
rdm_5_3,ambar,1-5,,
rdm_5_3,setfa,25-50,,
rdm_5_3,chafa,1-5,,
rdm_5_3,desca,1-5,,
rdm_5_3,galbo,1-5,unkn #7 - photo;square stem;leaf whorls,
rdm_5_3,elyca,5-25,,
rdm_5_4,monfi,25-50,,
rdm_5_4,chafa,5-25,,
rdm_5_4,ratpi,5-25,,
rdm_5_4,solri,5-25,,
rdm_5_4,setfa,25-50,,
rdm_5_4,echpa,5-25,,
rdm_5_4,tarof,5-25,,
rdm_5_4,elyca,5-25,,
rdm_5_4,thlar,1-5,,
rdm_5_4,polco,<1,unkn #8 - sample;bindweed,
rdm_2_1,artlu,5-25,,
rdm_2_1,conca,5-25,,
rdm_2_1,solri,5-25,,
rdm_2_1,desca,5-25,,
rdm_2_1,echpa,5-25,,
rdm_2_1,helhe,25-50,,
rdm_2_1,elyca,5-25,,
rdm_2_1,sympi,5-25,,
rdm_2_1,ascsy,5-25,,
rdm_2_1,ratpi,25-50,,
rdm_2_1,chafa,1-5,,
rdm_2_1,trire,5-25,,
rdm_2_1,sornu,1-5,,
rdm_2_2,solri,5-25,,
rdm_2_2,chafa,5-25,,
rdm_2_2,zizau,5-25,,
rdm_2_2,symno,5-25,,
rdm_2_2,ratpi,25-50,,
rdm_2_2,monfi,5-25,,
rdm_2_2,rudhi,25-50,,
rdm_2_2,astca,1-5,,
rdm_2_2,conca,1-5,,
rdm_2_2,setlu,25-50,,
rdm_2_2,sornu,1-5,,
rdm_2_2,cervu,1-5,unkn #9 - sample;small wht flowers,
rdm_2_2,tarof,1-5,,
