quadratID,speciesID,cover, notes, flowering
bue_1_1,monfi,25-50,,
bue_1_1,helhe,25-50,,
bue_1_1,astca,5-25,,
bue_1_1,potar,5-25,,
bue_1_1,achmi,5-25,,
bue_1_1,elyvi,1-5,,
bue_1_1,andge,5-25,,
bue_1_1,schcs,1-5,,
bue_1_1,sornu,1-5,,
bue_1_1,elyca,1-5,,
bue_1_2,astca,5-25,,
bue_1_2,helhe,25-50,,
bue_1_2,zizau,1-5,,
bue_1_2,achmi,5-25,,
bue_1_2,sornu,5-25,,
bue_1_2,elyvi,25-50,,
bue_1_2,andge,5-25,,
bue_1_2,schsc,1-5,,
bue_1_2,boucu,1-5,,
bue_1_2,elyca,1-5,,
bue_2_1,cirar,5-25,,
bue_2_1,setfa,5-25,,
bue_2_1,broin,25-50,,
bue_2_1,echcr,5-25,,
bue_2_1,medsa,1-5,,
bue_2_1,erivi,1-5,,
bue_2_1,unkn1,1-5,photo;grass;closed sheaths,
bue_2_1,agree,1-5,,
bue_2_2,cirar,25-50,,
bue_2_2,ambtr,25-50,,
bue_2_2,broin,50-75,,
bue_2_2,setlu,5-25,,
bue_2_2,cypes,1-5,unkn3;sedge;photo,
bue_2_2,agrre,1-5,,
bue_2_2,poapr,5-25,,
bue_2_3,cirar,5-25,,
bue_2_3,helhe,5-25,,
bue_2_3,helma,25-50,,
bue_2_3,calse,5-25,unkn2;photo;bindweed?,
bue_2_3,medsa,5-25,,
bue_2_3,trire,1-5,,
bue_2_3,broin,25-50,,
bue_2_3,agrre,5-25,,
bue_2_3,poapr,1-5,,
bue_2_4,broin,>95,,
bue_2_5,cypes,5-25,unkn3;sedge,
bue_2_5,urtdi,5-25,,
bue_2_5,solpt,5-25,,
bue_2_5,calse,5-25,unkn2;bindweed,
bue_2_5,broin,50-75,,
bue_2_6,ascsy,5-25,,
bue_2_6,phaar,50-75,,
bue_2_6,broin,25-50,,
bue_2_7,helgr,5-25,,
bue_2_7,helhe,25-50,,
bue_2_7,trire,25-50,,
bue_2_7,broin,25-50,,
bue_2_7,agrre,5-25,,
bue_2_7,phaar,1-5,,
bue_2_7,setlu,1-5,,
bue_2_8,erivi,25-50,,
bue_2_8,broin,5-25,,
bue_2_8,cirar,5-25,,
bue_2_8,amata,5-25,,
bue_2_8,tarof,5-25,,
bue_2_8,medsa,25-50,,
bue_2_8,agrre,25-50,,
bue_2_8,setfa,1-5,,
bue_2_9,agrre,25-50,,
bue_2_9,broin,50-75,,
bue_2_10,broin,>95,,
bue_2_11,ascsy,1-5,,
bue_2_11,phaar,1-5,,
bue_2_11,broin,75-95,,
bue_2_11,urtdi,1-5,,
bue_2_11,medsa,1-5,,
bue_2_11,panca,1-5,,
bue_2_11,agrre,5-25,,
bue_2_11,setfa,1-5,,
bue_2_12,ascsy,5-25,,
bue_2_12,broin,75-95,,
bue_2_12,agrre,5-25,,
bue_2_12,cirar,5-25,,
bue_4_1,tarof,25-50,mowed,
bue_4_1,cirar,5-25,mowed,
bue_4_1,medsa,5-25,mowed,
bue_4_1,setfa,5-25,mowed,
bue_4_1,helma,5-25,mowed,
bue_4_1,trire,5-25,mowed,
bue_4_1,andge,5-25,mowed,
bue_4_1,solca,1-5,mowed,
bue_4_1,broin,1-5,mowed,
bue_3_1,setfa,25-50,mowed,
bue_3_1,cheal,1-5,mowed,
bue_3_1,rudhi,1-5,mowed,
bue_3_1,setlu,5-25,mowed,
bue_3_1,tarof,<1,mowed,
bue_3_1,poapr,25-50,mowed,
bue_3_1,elyca,1-5,mowed,
bue_3_1,broin,1-5,mowed,
bue_3_2,helhe,5-25,mowed,
bue_3_2,cirar,1-5,mowed,
bue_3_2,tarof,5-25,mowed,
bue_3_2,astca,5-25,mowed,
bue_3_2,boucu,1-5,mowed,
bue_3_2,andge,25-50,mowed,
bue_3_2,elyvi,1-5,mowed,
bue_3_2,panvi,5-25,mowed,
bue_3_2,erivi,1-5,mowed,
bue_3_2,setfa,1-5,mowed,
bue_5_1,cirar,25-50,,
bue_5_1,helhe,25-50,,
bue_5_1,andge,25-50,,
bue_5_1,tarof,5-25,,
bue_5_1,potar,1-5,,
bue_5_1,setfa,1-5,,
bue_5_1,erivi,1-5,,
bue_5_1,broin,1-5,,
bue_5_1,rudhi,1-5,,
bue_8_1,ratpi,5-25,,
bue_8_1,cirar,5-25,,
bue_8_1,zizau,1-5,,
bue_8_1,monfi,1-5,,
bue_8_1,tarof,1-5,,
bue_8_1,elyvi,25-50,,
bue_8_1,elyca,5-25,,
bue_8_1,broin,5-25,,
bue_8_1,erivi,5-25,,
bue_8_1,poapr,25-50,,
bue_8_1,setfa,1-5,,
bue_8_1,sornu,1-5,,
bue_7_1,achmi,5-25,mowed,
bue_7_1,cirar,5-25,mowed,
bue_7_1,tarof,5-25,mowed,
bue_7_1,setlu,5-25,mowed,
bue_7_1,broin,1-5,mowed,
bue_7_1,medsa,25-50,mowed,
bue_7_1,solri,1-5,mowed,
bue_6_2,tarof,5-25,mowed,
bue_6_2,cirar,5-25,mowed,
bue_6_2,helhe,1-5,mowed,
bue_6_2,setfa,1-5,mowed,
bue_6_2,ratpi,1-5,mowed,
bue_6_2,phyhe,5-25,mowed;unkn4;photo;fuzzy nightshade,
bue_6_2,andge,1-5,mowed,
bue_6_2,broin,1-5,mowed,
bue_6_2,poapr,1-5,mowed,
bue_6_2,helma,5-25,mowed,
bue_6_2,verst,1-5,mowed,
bue_6_2,ratco,5-25,mowed,
bue_6_2,setlu,1-5,mowed,
bue_6_1,tarof,5-25,,
bue_6_1,helhe,25-50,,
bue_6_1,andge,5-25,,
bue_6_1,poapr,25-50,,
bue_6_1,broin,5-25,,
bue_8_2,achmi,5-25,,
bue_8_2,ratpi,5-25,,
bue_8_2,cirar,5-25,,
bue_8_2,polpe,1-5,,
bue_8_2,erivi,5-25,,
bue_8_2,setfa,1-5,,
bue_8_2,broin,5-25,,
bue_8_2,andge,5-25,,
bue_8_3,ratpi,5-25,,
bue_8_3,tarof,5-25,,
bue_8_3,solpt,5-25,,
bue_8_3,erivi,25-50,,
bue_8_3,dacgl,5-25,,
bue_8_3,broin,1-5,,
bue_8_3,setfa,1-5,,
bue_8_3,setlu,5-25,,
